loc,alpha,k,clip_factor,jump_penalty,rep,model,bac,sd,mad,d_med,cdist_mad,kurt,secs,error
0.0018,1.4,4.0,12,0.03,9,jump,0.7982666101386469,0.004748263366355624,0.004455286074458119,0.003585334295422551,0.8047371673790045,1.3788490906115864,36.2,
0.0018,1.4,4.0,12,0.03,9,kmeans,0.7981665534625433,0.004748263366355624,0.004455286074458119,0.003585334295422551,0.8047371673790045,1.3788490906115864,0.3,
0.002,1.1,6.0,12,0.3,7,jump,0.847044051949479,0.004348324733344561,0.004136613837263002,0.004010440213577894,0.9694983315704927,1.0995486743952148,36.3,
0.002,1.1,6.0,12,0.3,7,kmeans,0.8456329390814978,0.004348324733344561,0.004136613837263002,0.004010440213577894,0.9694983315704927,1.0995486743952148,0.3,
0.0016,1.6,6.0,12,100,6,jump,0.7903208515420792,0.00453451696561399,0.004438197836763195,0.0032415029326087197,0.7303646776982722,0.3333572628965782,35.4,
0.0016,1.6,6.0,12,100,6,kmeans,0.7828862270198587,0.00453451696561399,0.004438197836763195,0.0032415029326087197,0.7303646776982722,0.3333572628965782,0.3,
0.0012,0.8,4.0,20,0.3,3,jump,0.7802117277250427,0.003908644210148589,0.003019178451181825,0.0023829130492895208,0.7892587628786086,8.690463918663502,36.2,
0.0012,0.8,4.0,20,0.3,3,kmeans,0.7776534323302507,0.003908644210148589,0.003019178451181825,0.0023829130492895208,0.7892587628786086,8.690463918663502,0.3,
0.0016,1.1,2.75,12,3,9,jump,0.7782969285121863,0.005162409864290256,0.004118960956047788,0.003155968263262673,0.7662049475435856,4.6345251481468965,36.7,
0.0016,1.1,2.75,12,3,9,kmeans,0.7662698258801716,0.005162409864290256,0.004118960956047788,0.003155968263262673,0.7662049475435856,4.6345251481468965,0.2,
0.001,0.8,2.75,8,3,0,jump,0.5065432135236957,0.0044057500516578455,0.0030771887618245815,0.0020110770529808333,0.653543610301108,4.3632928449769,37.3,
0.001,0.8,2.75,8,3,0,kmeans,0.508035011224885,0.0044057500516578455,0.0030771887618245815,0.0020110770529808333,0.653543610301108,4.3632928449769,0.4,
0.0008,0.8,2.0,8,30,0,jump,0.5533511143837222,0.005109968591401139,0.003187672682115246,0.001613122082997854,0.5060501010810914,3.9909297866277953,36.4,
