loc,alpha,k,clip_factor,rep,model,bac,sd,mad,d_med,cdist_mad,kurt,secs,error
0.0011,1.6,2.0,8,4,jump,0.7218897475117327,0.004822274692326509,0.004350816125413962,0.00220260818947459,0.506251729786678,1.5021078593932486,36.0,
0.0011,1.6,2.0,8,4,kmeans,0.6971212220724945,0.004822274692326509,0.004350816125413962,0.00220260818947459,0.506251729786678,1.5021078593932486,0.6,
0.001,1.6,6.0,8,4,vae,0.709615969496376,0.004348618936482239,0.004213077351480461,0.002023113617527189,0.48019854580079663,0.39469546694025937,933.4,
0.001,1.6,6.0,8,4,jump,0.7086338243128706,0.004348618936482239,0.004213077351480461,0.002023113617527189,0.48019854580079663,0.39469546694025937,35.7,
0.001,1.6,6.0,8,4,kmeans,0.7070556900943469,0.004348618936482239,0.004213077351480461,0.002023113617527189,0.48019854580079663,0.39469546694025937,0.6,
0.0005,1.6,2.75,20,5,vae,0.5722311450434475,0.004604871925627649,0.0041682247863120666,0.00106434391561049,0.25534705304417926,3.242951207965409,954.1,
0.0005,1.6,2.75,20,5,jump,0.5001795904553137,0.004604871925627649,0.0041682247863120666,0.00106434391561049,0.25534705304417926,3.242951207965409,34.7,
0.0005,1.6,2.75,20,5,kmeans,0.6094640847907097,0.004604871925627649,0.0041682247863120666,0.00106434391561049,0.25534705304417926,3.242951207965409,0.6,
0.001,1.6,2.0,12,2,vae,0.6091586913154912,0.004917925266605517,0.0043121154169441815,0.002013794030315842,0.46700837885803503,3.1789188458100615,949.0,
0.001,1.6,2.0,12,2,jump,0.5104675512282066,0.004917925266605517,0.0043121154169441815,0.002013794030315842,0.46700837885803503,3.1789188458100615,34.3,
0.001,1.6,2.0,12,2,kmeans,0.6729312050503196,0.004917925266605517,0.0043121154169441815,0.002013794030315842,0.46700837885803503,3.1789188458100615,0.5,
0.0012,0.8,4.0,8,2,vae,0.7321096773027715,0.0037838138770522434,0.003016984400840035,0.0023797753772130123,0.7887927350736049,3.829793065335812,956.7,
