loc,alpha,k,rep,sd,mad,d_mean,d_med,cdist,cdist_mad,kurt
0.0005,1.1,2.75,1,0.004901058838741072,0.0036705516169650895,0.0009448214377338351,0.0009618549632695777,0.2620464343353561,0.2620464343353561,5.614417862388157
0.0005,1.1,2.75,3,0.0049145271391747404,0.003680114807746222,0.0010185164717485702,0.001001654302776572,0.2721801778216821,0.2721801778216821,5.369088262118726
0.0005,1.1,2.75,4,0.004932268238067684,0.003683599006963799,0.0010351066522148254,0.001037913924202543,0.28176626235384994,0.28176626235384994,5.711184775275797
0.0005,1.1,2.75,5,0.004937868526497768,0.0036787122009592347,0.0010058730569589228,0.0010085382012285618,0.2741552331725169,0.2741552331725169,5.5556177268304925
0.0005,1.1,2.75,6,0.004927574182622138,0.003702162185664128,0.0009823304392537794,0.001018642267503242,0.27514793151086886,0.27514793151086886,5.353699438395273
0.0005,1.1,2.75,2,0.004941182360776171,0.003680657255796179,0.0009886480605834403,0.0010040926475642937,0.2728025398135296,0.2728025398135296,5.721122714555264
0.0005,1.1,2.75,7,0.0049273923453552314,0.0036806994057199177,0.0010343353885909864,0.001029470880462843,0.27969436430016925,0.27969436430016925,5.540492743132392
0.0005,1.1,2.75,8,0.004879545519693638,0.003670584438329449,0.0010034797766002275,0.0009921465171140935,0.2702966063806552,0.2702966063806552,5.10440289612159
0.0005,1.1,2.75,9,0.004923009047953799,0.0036830445229823748,0.0009742176370762446,0.0009456000757622324,0.25674413378976074,0.25674413378976074,5.588633647542938
0.0005,1.1,4.0,1,0.004273231622436933,0.003550694414078436,0.0009863513717906253,0.0010068939440175003,0.2835766265959652,0.2835766265959652,3.8566633338412224
0.0005,1.1,4.0,0,0.0043113525200670095,0.0035612923131575227,0.001016978197349988,0.000998658596389164,0.28042028246306205,0.28042028246306205,3.951818904150108
0.0005,1.1,4.0,2,0.004298693116919461,0.003563552412163197,0.0009922294712159108,0.0009974048574001501,0.27989060971736673,0.27989060971736673,3.7819789948064377
0.0005,1.1,4.0,5,0.004275058229787309,0.003578166209117283,0.0010061379992038605,0.0010248725973211296,0.28642397737414244,0.28642397737414244,3.588452453618305
0.0005,1.1,4.0,3,0.004288710393128095,0.003569825743048787,0.0010271833286633462,0.0010160680116890507,0.28462678148017506,0.28462678148017506,3.7633169417238834
0.0005,1.1,4.0,4,0.004290255588801627,0.0035734231958639354,0.0010127245122332654,0.0010111102868908494,0.2829528526207477,0.2829528526207477,3.605338304983656
0.0005,1.1,4.0,6,0.004287598163766817,0.003557019584219648,0.0010289104616737932,0.0009974665415892828,0.28042199880327917,0.28042199880327917,3.8027329215559265
0.0005,1.1,4.0,8,0.004303653760466666,0.003577142479956839,0.0009946719213844344,0.0009737830845784098,0.2722237344569398,0.2722237344569398,3.4914177440555942
0.0005,1.1,4.0,7,0.004309374634814923,0.0035722615361905054,0.0010288476447827752,0.0010175446907584463,0.2848460787234425,0.2848460787234425,3.7105608146944737
0.0005,1.1,4.0,9,0.004295025825900309,0.003563376174473405,0.0010145401789257102,0.001026055803932822,0.28794484603760706,0.28794484603760706,3.8372072980664687
0.0005,1.1,6.0,0,0.0038814777230856056,0.003483581169022042,0.0009980235872901688,0.00101941095269338,0.29263304146851926,0.29263304146851926,1.9219981461533706
0.0005,1.1,6.0,1,0.003859719470583963,0.0034479538124022897,0.0009656267675606353,0.0009629591926212443,0.279284249445999,0.279284249445999,1.6882433858053698
0.0005,1.1,6.0,2,0.003884448254336975,0.0034697824749864016,0.0009856741687409196,0.000989445224655725,0.28516059199348015,0.28516059199348015,1.9550379604648844
0.0005,1.1,6.0,3,0.00385841571891903,0.0034686134634173225,0.0009906665147486862,0.0009942175726337095,0.28663256460239694,0.28663256460239694,1.9793047146903024
0.0005,1.1,6.0,4,0.00385989396928281,0.003468335743956028,0.0009807836352582694,0.0009946385076145105,0.2867768812023985,0.2867768812023985,1.8166672331618487
0.0005,1.1,6.0,5,0.0038718358488284365,0.003479421987862727,0.0010337723743399315,0.0010297518482336558,0.2959548602686713,0.2959548602686713,1.7433036088289828
0.0005,1.1,6.0,6,0.003865179070296038,0.003453332985501912,0.0010127482236484534,0.0009953774238246036,0.2882367347728948,0.2882367347728948,1.8271335442709846
0.0005,1.1,6.0,7,0.0038785054886349033,0.0034576142802940544,0.0010072882932870408,0.0009981964015423916,0.28869512924891655,0.28869512924891655,1.8923803394210452
0.0005,1.1,6.0,9,0.003880607576889023,0.0034632956388310353,0.000993328572300584,0.0010045657086058292,0.2900606281896569,0.2900606281896569,1.878684862876094
0.0005,1.1,6.0,8,0.0038854418536732873,0.0034750565324448285,0.0009796251959663166,0.000975574463083566,0.28073628557553676,0.28073628557553676,1.8591001147735966
