loc,alpha,k,rep,bac
0.0008,1.4,2.75,8,0.5013846933069027
0.0008,1.4,4.0,0,0.6764050043858219
0.0008,1.4,4.0,1,0.6708790372591092
0.0008,1.4,4.0,3,0.5078514484636227
0.0008,1.4,4.0,2,0.506389221137895
0.0008,1.4,4.0,6,0.6504490423927765
0.0008,1.4,4.0,5,0.6773939043469296
0.0008,1.4,4.0,4,0.5033372444238243
0.0008,1.4,4.0,9,0.6559426421502196
0.0008,1.4,4.0,8,0.5079073359894989
0.0008,1.4,6.0,0,0.6775070846372644
0.0008,1.4,6.0,1,0.6619992115737319
0.0008,1.4,6.0,2,0.6675073952383608
0.0008,1.4,4.0,7,0.6758932494027035
0.0008,1.4,6.0,3,0.6921095938721082
0.0008,1.4,6.0,4,0.6730520562061966
0.0008,1.4,6.0,5,0.6574652474257767
0.0008,1.4,6.0,6,0.688560603442317
0.0008,1.4,6.0,8,0.6771635325415477
0.0008,1.4,6.0,7,0.7111984159598355
0.0008,1.4,6.0,9,0.6812376802716131
0.0008,1.6,2.0,0,0.5064340344142437
0.0008,1.6,2.0,1,0.5041263762804336
0.0008,1.6,2.0,2,0.5008416285915755
0.0008,1.6,2.0,4,0.5003011863867955
0.0008,1.6,2.0,5,0.5051358387462624
0.0008,1.6,2.0,3,0.5115253779209886
0.0008,1.6,2.0,8,0.5065045325085574
0.0008,1.6,2.0,9,0.502603654814233
0.0008,1.6,2.0,7,0.5026974031481861
0.0008,1.6,2.75,0,0.5035996793064366
0.0008,1.6,2.0,6,0.5012148497602462
0.0008,1.6,2.75,1,0.5117084182308302
0.0008,1.6,2.75,4,0.5009943423266402
0.0008,1.6,2.75,3,0.6605281590547838
0.0008,1.6,2.75,2,0.6747971862698448
0.0008,1.6,2.75,5,0.6773733717185417
0.0008,1.6,2.75,6,0.5069319639332427
0.0008,1.6,2.75,7,0.5024810486712318
0.0008,1.6,4.0,0,0.6781800515226156
0.0008,1.6,2.75,9,0.5069965431218859
0.0008,1.6,2.75,8,0.5063417159438902
0.0008,1.6,4.0,1,0.6763595162951517
0.0008,1.6,4.0,2,0.6632660215464159
0.0008,1.6,4.0,3,0.706267963917564
0.0008,1.6,4.0,4,0.668509946164872
0.0008,1.6,4.0,5,0.6908109963952229
0.0008,1.6,4.0,7,0.6754743756744235
0.0008,1.6,4.0,9,0.6559506767013107
0.0008,1.6,4.0,6,0.6688670767954655
0.0008,1.6,4.0,8,0.6462826857766103
0.0008,1.6,6.0,1,0.6662501170228007
0.0008,1.6,6.0,0,0.6789619524183965
0.0008,1.6,6.0,3,0.7045472953574986
0.0008,1.6,6.0,5,0.6794891530086664
0.0008,1.6,6.0,2,0.6580432661757498
0.0008,1.6,6.0,4,0.6849847744833284
0.0008,1.6,6.0,6,0.6903949985791418
0.0008,1.6,6.0,7,0.6767771460025349
0.0008,1.6,6.0,9,0.6446988832354199
0.0008,1.6,6.0,8,0.6754910064685722
0.001,0.8,2.0,2,0.5314406745245003
0.001,0.8,2.0,3,0.5355442069847081
0.001,0.8,2.0,0,0.515513072436395
0.001,0.8,2.0,1,0.5154782207723818
0.001,0.8,2.0,4,0.5333490505379571
0.001,0.8,2.0,6,0.5435078620820308
0.001,0.8,2.0,7,0.5244601128792116
0.001,0.8,2.0,5,0.5230807155633
0.001,0.8,2.0,9,0.5374716154218395
0.001,0.8,2.0,8,0.5210147869521026
0.001,0.8,2.75,0,0.507259702992606
0.001,0.8,2.75,2,0.5007673919516882
0.001,0.8,2.75,1,0.5095914373717633
0.001,0.8,2.75,3,0.5092571970534379
0.001,0.8,2.75,4,0.5044164864711369
0.001,0.8,2.75,5,0.5054134895125898
0.001,0.8,2.75,6,0.5066816336797155
0.001,0.8,2.75,8,0.5081894237003618
0.001,0.8,4.0,0,0.5069181099856153
0.001,0.8,4.0,1,0.5070527342034077
0.001,0.8,2.75,7,0.5077436739633006
0.001,0.8,4.0,3,0.5024250950728439
0.001,0.8,2.75,9,0.501724496823981
0.001,0.8,4.0,4,0.7541001712242758
0.001,0.8,4.0,2,0.5008608990172593
0.001,0.8,4.0,6,0.5007461905639655
0.001,0.8,4.0,5,0.5006195410425228
