loc,alpha,k,clip_factor,feature_set,rep,model,bac,sd,mad,d_med,cdist_mad,kurt,secs,error
0.0005,0.8,2.0,10,scales,17,kmeans,0.5064080376568104,0.005523466861031062,0.003135108941013396,0.0010275641111587457,0.327760256658448,5.838752662097878,0.2,
0.0005,0.8,2.0,10,scales,15,kmeans,0.5045299837393007,0.005507532010335338,0.0031159892503481884,0.0009819014121171077,0.3151170730153795,5.913024931207195,0.2,
0.0005,0.8,2.0,10,scales,19,kmeans,0.5067243711293306,0.005557819361997797,0.0031331185549677903,0.000996438191967802,0.3180339889749387,5.924769046570624,0.2,
0.0005,0.8,2.0,10,scales,18,kmeans,0.503702358189318,0.005508244534086265,0.0031104011840195015,0.0009744869602543248,0.313299443576927,6.00721304585567,0.2,
0.0005,0.8,2.0,12,all,1,kmeans,0.5026715366161029,0.005839667175857782,0.003117996462274848,0.0009644079931346733,0.3093037483535354,7.738065428095107,1.5,
0.0005,0.8,2.0,12,all,5,kmeans,0.5053610572646601,0.005906508628384514,0.003133298349701783,0.0009953204667073048,0.3176590147574157,7.779416759547715,3.5,
0.0005,0.8,2.0,12,all,0,kmeans,0.5017603762095925,0.005883856672153753,0.003121938947020723,0.0010098300002390705,0.3234624434929308,7.780898859752456,5.0,
0.0005,0.8,2.0,12,all,11,kmeans,0.5008118037103974,0.005924932613874491,0.0031412109504107733,0.0009934462866523813,0.31626220025830143,7.776417905673144,4.9,
0.0005,0.8,2.0,12,all,8,kmeans,0.5012278918000401,0.005814515368503284,0.0031275396695400253,0.0010005242279969198,0.31990776575635543,7.771220626116909,5.7,
0.0005,0.8,2.0,12,all,4,kmeans,0.5046539755542436,0.005868430306057278,0.003106681268494147,0.0010262789498870608,0.3303457487882279,7.8692995868812385,6.4,
0.0005,0.8,2.0,12,all,9,kmeans,0.5023620279471104,0.005897682999790163,0.0031401847719224408,0.0009844511580105733,0.3135010292429022,7.7027924666922445,6.6,
0.0005,0.8,2.0,12,all,2,kmeans,0.5014072260856243,0.0059144722497708625,0.0031135899240234714,0.00100710432020962,0.32345438698883333,7.988933020004186,6.3,
0.0005,0.8,2.0,12,all,3,kmeans,0.5072242322720396,0.0058773957303012445,0.003139740258514681,0.0009835875271735717,0.3132703491972543,7.714558705150674,7.1,
0.0005,0.8,2.0,12,all,16,kmeans,0.5124779222042138,0.0058399064530315885,0.0031144575264188544,0.0009846133838046103,0.3161428195608639,7.506479101741805,5.3,
0.0005,0.8,2.0,12,all,7,kmeans,0.5041577908584944,0.005867789851356622,0.003124831468775709,0.0009903627010346668,0.31693315653361787,7.664685141200927,7.1,
